id,domain,issue_type,image_path,text_description,location_type,severity,urgency,language,pair_difficulty,confidence_label
00319,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_003.jpg,There is a problem related to damaged farm equipment at the crossing. This needs to be fixed urgently.,Rural,Medium,High,English,both_clear,high
00320,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_004.jpg,"Hamare area mein damaged farm equipment ki dikkat hai, school ke peeche.",Urban,Low,Low,Hinglish,complementary,high
00321,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_005.jpg,There is a problem related to damaged farm equipment next to the bus stop. This is causing a lot of trouble to residents. Plz look into this asap.,Semi-Urban,Medium,Medium,English,clear_text_unclear_image,medium
00322,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_006.jpg,पंचायत भवन के सामने एक गंभीर समस्या है जिसकी वजह Damaged farm equipment है।,Urban,Low,Medium,Hindi,both_clear,high
00323,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_007.jpg,"main road ke kinare damaged farm equipment ki problem hai kal se, please jaldi fix karo.",Urban,High,High,Hinglish,both_clear,high
00324,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_008.jpg,Damaged farm equipment has been a problem outside our house for almost a month. Please take action soon.,Urban,High,High,English,both_clear,high
00325,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_009.jpg,Damaged farm equipment has been a problem at the crossing for almost a month. This is right next to the market.,Semi-Urban,Medium,Medium,English,complementary,high
00326,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_010.jpg,"Hamare area mein damaged farm equipment ki dikkat hai, panchayat office ke saamne.",Semi-Urban,High,High,Hinglish,both_clear,high
00327,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_011.jpg,"हमें स्कूल के पीछे damaged farm equipment की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Rural,High,High,Hindi,both_clear,high
00328,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_012.jpg,"हमारी गली के पास damaged farm equipment की समस्या है, कृपया जल्द ठीक करें।",Urban,High,High,Hindi,clear_text_unclear_image,medium
00329,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_013.jpg,Kindly send someone to check this place.,Rural,Medium,Medium,English,vague_text_clear_image,medium
00330,Agriculture,Damaged farm equipment,data/raw/images/agriculture/damaged_farm_equipment/damaged_farm_equipment_014.jpg,"हमें हमारी गली के पास damaged farm equipment की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Urban,High,High,Hindi,clear_text_unclear_image,medium
00331,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_000.jpg,"Hamare area mein soil or water related agricultural problem ki dikkat hai, main road ke kinare.",Rural,High,High,Hinglish,both_clear,high
00332,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_001.jpg,We are facing an issue of soil or water related agricultural problem beside the main road for the past three days. Many families in the area are affected by this. We request the concerned department to inspect and resolve this at the earliest.,Urban,Low,Low,English,both_clear,high
00333,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_002.jpg,Citizens are facing trouble due to soil or water related agricultural problem near the market. This is causing a lot of trouble to residents.,Urban,Low,Low,English,both_clear,high
00334,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_003.jpg,Soil or water related agricultural problem has been a problem near the colony gate since last night. Please take action soon.,Semi-Urban,Low,Low,English,clear_text_unclear_image,medium
00335,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_004.jpg,"Hamare area mein soil or water related agricultural problem ki dikkat hai, bazaar ke paas.",Rural,Medium,Medium,Hinglish,both_clear,high
00336,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_005.jpg,There is a problem related to soil or water related agricultural problem near the railway station road. Many families in the area are affected by this. It would be great if someone could visit and check the situation. Plz look into this asap.,Semi-Urban,High,High,English,clear_text_unclear_image,medium
00337,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_006.jpg,"There is some problem here, please check when possible.",Rural,High,High,English,vague_text_clear_image,medium
00338,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_007.jpg,We are facing an issue of soil or water related agricultural problem near the market for several days. This is causing a lot of trouble to residents. Plz look into this asap.,Rural,High,High,English,clear_text_unclear_image,medium
00339,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_008.jpg,There is a problem related to soil or water related agricultural problem outside our house. Please take action soon. Please fix it soon.,Urban,Low,Low,English,both_clear,high
00340,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_009.jpg,कॉलोनी के गेट के पास एक गंभीर समस्या है जिसकी वजह Soil or water related agricultural problem है।,Semi-Urban,Low,Low,Hindi,both_clear,high
00341,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_010.jpg,"colony gate ke paas soil or water related agricultural problem ki problem hai pichhle teen din se, please jaldi fix karo.",Urban,Medium,Medium,Hinglish,both_clear,high
00342,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_011.jpg,There is a problem related to soil or water related agricultural problem at the crossing. Nobody from the authorities has visited yet.,Urban,High,High,English,clear_text_unclear_image,medium
00343,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_012.jpg,"Sir/Madam, bus stop ke paas soil or water related agricultural problem ho raha hai, jaldi solve kijiye plz.",Rural,Low,Low,Hinglish,both_clear,high
00344,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_013.jpg,We are facing an issue of soil or water related agricultural problem at the crossing for several days.,Urban,Low,Medium,English,clear_text_unclear_image,medium
00345,Agriculture,Soil or water related agricultural problem,data/raw/images/agriculture/soil_or_water_related_agricultural_problem/soil_or_water_related_agricultural_problem_014.jpg,"Hamare area mein soil or water related agricultural problem ki dikkat hai, bus stop ke paas.",Urban,Low,Medium,Hinglish,complementary,high
00346,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_000.jpg,"बस स्टॉप के पास की स्थिति बहुत खराब है, यह water pipeline leakage से जुड़ी समस्या है।",Urban,High,Medium,Hindi,complementary,high
00347,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_001.jpg,I want to report water is leaking continuously from the pipeline behind the school. It's affecting a lot of families nearby.,Rural,High,High,English,complementary,high
00348,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_002.jpg,I want to report the pipeline near the railway station road is leaking and wasting a lot of water. Plz look into this asap. It's affecting a lot of families nearby.,Rural,High,High,English,complementary,high
00349,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_003.jpg,Kindly send someone to check this place.,Semi-Urban,Low,Medium,English,vague_text_clear_image,medium
00350,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_004.jpg,Just reporting that there is there has been a water leakage near the market for several days. Many families in the area are affected by this. We have complained before but no action has been taken. Plz look into this asap.,Urban,Low,Low,English,clear_text_unclear_image,medium
00351,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_005.jpg,"मुख्य सड़क के किनारे water pipeline leakage की समस्या है, कृपया जल्द ठीक करें।",Rural,Medium,Low,Hindi,both_clear,high
00352,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_006.jpg,"Sir/Madam, panchayat office ke saamne water pipeline leakage ho raha hai, jaldi solve kijiye plz.",Rural,High,High,Hinglish,both_clear,high
00353,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_007.jpg,This has been an issue for a while now.,Semi-Urban,High,High,English,vague_text_clear_image,medium
00354,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_008.jpg,"Sir/Madam, colony gate ke paas water pipeline leakage ho raha h, jaldi solve kijiye plz.",Urban,High,High,Hinglish,complementary,high
00355,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_009.jpg,There is the pipeline next to the bus stop is leaking and wasting a lot of water. Nobody from the authorities has visited yet. No one has come to check yet.,Rural,Low,Medium,English,both_clear,high
00356,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_010.jpg,"Sir/Madam, there is there has been a water leakage near the colony gate for several days. This is causing a lot of trouble to residents.",Urban,Medium,Medium,English,both_clear,high
00357,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_011.jpg,"Hamare area mein water pipeline leakage ki dikkat hai, hamari gali ke paas.",Urban,High,High,Hinglish,both_clear,high
00358,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_012.jpg,"Sir/Madam, colony gate ke paas water pipeline leakage ho raha hai, jaldi solve kijiye plz.",Rural,Medium,Medium,Hinglish,clear_text_unclear_image,medium
00359,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_013.jpg,Not sure who to contact but this needs attention.,Urban,High,Medium,English,vague_text_clear_image,medium
00360,Water Management,Water pipeline leakage,data/raw/images/water_management/water_pipeline_leakage/water_pipeline_leakage_014.jpg,हमारी गली के पास एक गंभीर समस्या है जिसकी वजह Water pipeline leakage है।,Rural,Low,Medium,Hindi,both_clear,high
00361,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_000.jpg,Citizens are facing trouble due to broken water pipe at the crossing. Please take action soon.,Semi-Urban,Medium,Medium,English,both_clear,high
00362,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_001.jpg,बाजार के पास एक गंभीर समस्या है जिसकी वजह Broken water pipe है।,Rural,Medium,High,Hindi,both_clear,high
00363,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_002.jpg,Not sure who to contact but this needs attention.,Semi-Urban,Medium,Medium,English,vague_text_clear_image,medium
00364,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_003.jpg,"हमें बस स्टॉप के पास broken water pipe की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Urban,Medium,High,Hindi,clear_text_unclear_image,medium
00365,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_004.jpg,"Yeh broken water pipe wali problem school ke peeche ek mahine se se hai, koi dekhne nahi aaya abhi tak.",Semi-Urban,High,Medium,Hinglish,both_clear,high
00366,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_005.jpg,Kindly send someone to check this place.,Semi-Urban,High,Medium,Hinglish,vague_text_clear_image,medium
00368,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_007.jpg,"पंचायत भवन के सामने broken water pipe की समस्या है, कृपया जल्द ठीक करें।",Urban,High,High,Hindi,both_clear,high
00369,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_008.jpg,"Sir/Madam, bazaar ke paas broken water pipe ho raha hai, jaldi solve kijiye plz.",Urban,Low,Low,Hinglish,both_clear,high
00370,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_009.jpg,"Citizens are facing trouble due to broken water pipe near the colony gate. This is causing a lot of trouble to residents, especially elderly people and children. We request the concerned department to inspect and resolve this at the earliest.",Semi-Urban,Medium,Low,English,both_clear,high
00371,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_010.jpg,Broken water pipe has been a problem near the colony gate for over a week. Many families in the area are affected by this. We have complained before but no action has been taken. Please fix it soon.,Urban,High,High,English,clear_text_unclear_image,medium
00372,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_011.jpg,We are facing an issue of broken water pipe near the colony gate for the past three days. Nobody from the authorities has visited yet. Please fix it soon.,Rural,High,Medium,English,both_clear,high
00373,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_012.jpg,"Broken water pipe has been a problem behind the school for the past three days. This is causing a lot of trouble to residents, especially elderly people and children. We request the concerned department to inspect and resolve this at the earliest.",Rural,Low,Low,English,clear_text_unclear_image,medium
00374,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_013.jpg,Broken water pipe has been a problem near the colony gate since last night. Please fix it soon.,Urban,Medium,Medium,English,both_clear,high
00375,Water Management,Broken water pipe,data/raw/images/water_management/broken_water_pipe/broken_water_pipe_014.jpg,स्कूल के पीछे एक गंभीर समस्या है जिसकी वजह Broken water pipe है।,Semi-Urban,High,High,Hindi,both_clear,high
00376,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_000.jpg,"Citizens are facing trouble due to overflowing water tank near the market. No one has come to check yet. Also, this has gotten worse since last week.",Semi-Urban,Medium,Medium,English,complementary,high
00377,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_001.jpg,"स्कूल के पीछे की स्थिति बहुत खराब है, यह overflowing water tank से जुड़ी समस्या है।",Rural,Medium,High,Hindi,clear_text_unclear_image,medium
00378,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_002.jpg,Overflowing water tank has been a problem near the colony gate for several days. Please take action soon.,Semi-Urban,High,Medium,English,both_clear,high
00379,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_003.jpg,"Hamare area mein overflowing water tank ki dikkat h, hamari gali ke paas.",Semi-Urban,Medium,Medium,Hinglish,both_clear,high
00380,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_004.jpg,"Sir/Madam, panchayat office ke saamne overflowing water tank ho raha hai, jaldi solve kijiye plz.",Rural,Low,Low,Hinglish,both_clear,high
00381,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_005.jpg,"हमें स्कूल के पीछे overflowing water tank की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Semi-Urban,High,High,Hindi,both_clear,high
00382,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_006.jpg,"school ke peeche overflowing water tank ki problem hai pichhle teen din se, please jaldi fix karo.",Urban,High,High,Hinglish,both_clear,high
00383,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_007.jpg,"हमें हमारे गाँव के नज़दीक overflowing water tank की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Urban,High,High,Hindi,both_clear,high
00384,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_008.jpg,There is a problem related to overflowing water tank beside the main road.,Semi-Urban,High,Medium,English,both_clear,high
00385,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_009.jpg,हमारी गली के पास एक गंभीर समस्या है जिसकी वजह Overflowing water tank है।,Semi-Urban,High,High,Hindi,complementary,high
00386,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_010.jpg,There is a problem related to overflowing water tank in front of the panchayat office. This is causing a lot of trouble to residents.,Rural,Medium,Low,English,both_clear,high
00387,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_011.jpg,Citizens are facing trouble due to overflowing water tank near the market.,Urban,High,High,English,clear_text_unclear_image,medium
00389,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_013.jpg,"Their is a problem related to overflowing water tank next to the bus stop. Also, this has gotten worse since last week.",Urban,High,Medium,English,complementary,high
00390,Water Management,Overflowing water tank,data/raw/images/water_management/overflowing_water_tank/overflowing_water_tank_014.jpg,"There is a problem related to overflowing water tank near our street. This is causing a lot of trouble to residents, especially elderly people and children. We request the concerned department to inspect and resolve this at the earliest.",Semi-Urban,High,High,English,both_clear,high
00391,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_000.jpg,Contaminated water source has been a problem near our street for the past three days. Many families in the area are affected by this. It would be great if someone could visit and check the situation.,Rural,Low,Low,English,both_clear,high
00392,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_001.jpg,Citizens are facing trouble due to contaminated water source near our street.,Semi-Urban,High,Medium,English,clear_text_unclear_image,medium
00393,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_002.jpg,"हमें कॉलोनी के गेट के पास contaminated water source की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Semi-Urban,High,High,Hindi,both_clear,high
00394,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_003.jpg,There is a problem related to contaminated water source beside the main road. Many families in the area are affected by this. We have complained before but no action has been taken.,Semi-Urban,High,High,English,clear_text_unclear_image,medium
00395,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_004.jpg,This has been an issue for a while now.,Urban,High,High,English,vague_text_clear_image,medium
00396,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_005.jpg,Contaminated water source has been a problem near the market since last night. Many families in the area are affected by this. We request the concerned department to inspect and resolve this at the earliest.,Urban,Low,Low,English,both_clear,high
00397,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_006.jpg,Kindly send someone to check this place.,Semi-Urban,Medium,Low,English,vague_text_clear_image,medium
00398,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_007.jpg,"Hamare area mein contaminated water source ki dikkat h, bus stop ke paas.",Rural,High,High,Hinglish,clear_text_unclear_image,medium
00399,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_008.jpg,There is a problem related to contaminated water source beside the main road. This needs to be fixed urgently.,Urban,Low,Medium,English,both_clear,high
00400,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_009.jpg,We are facing an issue of contaminated water source in front of the panchayat office since last night. This needs to be fixed urgently.,Urban,High,Medium,English,both_clear,high
00401,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_010.jpg,"बस स्टॉप के पास contaminated water source की समस्या है, कृपया जल्द ठीक करें।",Semi-Urban,High,High,Hindi,both_clear,high
00402,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_011.jpg,"gaon ke nazdeek contaminated water source ki problem hai ek mahine se, please jaldi fix karo.",Urban,High,High,Hinglish,both_clear,high
00403,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_012.jpg,"We are facing an issue of contaminated water source behind the school for two weeks now. This is causing a lot of trouble to residents, especially elderly people and children. It would be great if someone could visit and check the situation.",Semi-Urban,High,High,English,both_clear,high
00404,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_013.jpg,"There is a problem related to contaminated water source near our street. Also, this has gotten worse since last week.",Rural,High,High,English,complementary,high
00405,Water Management,Contaminated water source,data/raw/images/water_management/contaminated_water_source/contaminated_water_source_014.jpg,"कॉलोनी के गेट के पास की स्थिति बहुत खराब है, यह contaminated water source से जुड़ी समस्या है।",Urban,High,Medium,Hindi,both_clear,high
00406,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_000.jpg,We are facing an issue of damaged public water tap near the colony gate for two weeks now.,Rural,Medium,Low,English,both_clear,high
00407,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_001.jpg,There is a problem related to damaged public water tap near the market. Many families in the area are affected by this. We request the concerned department to inspect and resolve this at the earliest.,Urban,Low,Medium,English,both_clear,high
00408,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_002.jpg,"colony gate ke paas damaged public water tap ki problem hai pichhle teen din se, please jaldi fix karo.",Semi-Urban,Low,Low,Hinglish,clear_text_unclear_image,medium
00409,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_003.jpg,"हमें कॉलोनी के गेट के पास damaged public water tap की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Rural,Low,Low,Hindi,clear_text_unclear_image,medium
00410,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_004.jpg,बस स्टॉप के पास एक गंभीर समस्या है जिसकी वजह Damaged public water tap है।,Urban,High,High,Hindi,both_clear,high
00411,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_005.jpg,मुख्य सड़क के किनारे एक गंभीर समस्या है जिसकी वजह Damaged public water tap है।,Rural,Medium,Low,Hindi,both_clear,high
00412,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_006.jpg,Citizens are facing trouble due to damaged public water tap near the market. This needs to be fixed urgently.,Semi-Urban,High,High,English,both_clear,high
00413,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_007.jpg,Damaged public water tap has been a problem near the colony gate since last night. Please take action soon.,Urban,High,Medium,English,clear_text_unclear_image,medium
00414,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_008.jpg,"Yeh damaged public water tap wali problem panchayat office ke saamne pichhle teen din se se h, koi dekhne nahi aaya abhi tak.",Semi-Urban,High,High,Hinglish,both_clear,high
00415,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_009.jpg,"We are facing an issue of damaged public water tap near the railway station road for over a week. This is causing a lot of trouble to residents, especially elderly people and children. We request the concerned department to inspect and resolve this at the earliest.",Semi-Urban,Medium,Low,English,clear_text_unclear_image,medium
00416,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_010.jpg,"There is some problem here, please check when possible.",Rural,High,Medium,Hinglish,vague_text_clear_image,medium
00417,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_011.jpg,Damaged public water tap has been a problem near the colony gate for two weeks now. This is right next to the school.,Rural,Medium,High,English,complementary,high
00418,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_012.jpg,"hamari gali ke paas damaged public water tap ki problem hai kal raat se, please jaldi fix karo.",Semi-Urban,Medium,Low,Hinglish,complementary,high
00419,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_013.jpg,We are facing an issue of damaged public water tap outside our house for almost a month.,Urban,High,High,English,both_clear,high
00420,Water Management,Damaged public water tap,data/raw/images/water_management/damaged_public_water_tap/damaged_public_water_tap_014.jpg,"बस स्टॉप के पास damaged public water tap की समस्या है, कृपया जल्द ठीक करें।",Rural,Low,Low,Hindi,complementary,high
00421,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_000.jpg,Citizens are facing trouble due to water shortage beside the main road.,Semi-Urban,Medium,High,English,both_clear,high
00422,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_001.jpg,Citizens are facing trouble due to water shortage next to the bus stop. Please take action soon. No one has come to check yet.,Semi-Urban,Medium,Low,English,both_clear,high
00423,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_002.jpg,"Something is wrong in our area, someone should look into it.",Urban,Medium,High,English,vague_text_clear_image,medium
00424,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_003.jpg,We are facing an issue of water shortage near the railway station road since last night.,Rural,Low,Low,English,both_clear,high
00425,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_004.jpg,"Sir/Madam, main road ke kinare water shortage ho raha hai, jaldi solve kijiye plz.",Rural,Low,Medium,Hinglish,clear_text_unclear_image,medium
00426,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_005.jpg,"Citizens are facing trouble due to water shortage near the market. This is causing a lot of trouble to residents, especially elderly people and children. It would be great if someone could visit and check the situation.",Urban,Medium,Medium,English,clear_text_unclear_image,medium
00427,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_006.jpg,"Yeh water shortage wali problem bus stop ke paas ek hafte se se hai, koi dekhne nahi aaya abhi tak.",Rural,Medium,Medium,Hinglish,both_clear,high
00428,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_007.jpg,कॉलोनी के गेट के पास एक गंभीर समस्या है जिसकी वजह Water shortage है।,Urban,Medium,Low,Hindi,clear_text_unclear_image,medium
00429,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_008.jpg,"बस स्टॉप के पास की स्थिति बहुत खराब है, यह water shortage से जुड़ी समस्या है।",Urban,High,High,Hindi,both_clear,high
00431,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_010.jpg,"Yeh water shortage wali problem bazaar ke paas kal raat se se hai, koi dekhne nahi aaya abhi tak.",Semi-Urban,High,Medium,Hinglish,both_clear,high
00432,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_011.jpg,"Hamare area mein water shortage ki dikkat hai, colony gate ke paas.",Urban,Medium,High,Hinglish,both_clear,high
00433,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_012.jpg,"हमें कॉलोनी के गेट के पास water shortage की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Semi-Urban,Low,Medium,Hindi,both_clear,high
00434,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_013.jpg,There is a problem related to water shortage outside our house. Nobody from the authorities has visited yet.,Semi-Urban,Low,Low,English,both_clear,high
00435,Water Management,Water shortage,data/raw/images/water_management/water_shortage/water_shortage_014.jpg,Not sure who to contact but this needs attention.,Urban,High,High,Hinglish,vague_text_clear_image,medium
00436,Water Management,Broken hand pump,data/raw/images/water_management/broken_hand_pump/broken_hand_pump_000.jpg,"There is some problem here, please check when possible.",Rural,Low,Low,English,vague_text_clear_image,medium
00437,Water Management,Broken hand pump,data/raw/images/water_management/broken_hand_pump/broken_hand_pump_001.jpg,"Sir/Madam, gaon ke nazdeek broken hand pump ho raha hai, jaldi solve kijiye plz.",Urban,Medium,Medium,Hinglish,both_clear,high
